152	77
142	104
152	88
163	109
144	146
227	120
240	90
230	66
212	133
202	163
180	142
203	95
195	60
187	35
148	32
88	98
94	195
285	168
324	112
269	159
221	218
182	219
145	180
316	199
419	186
460	110
414	70
373	69
387	154
360	198
326	155
367	110
317	59
281	76
288	120
252	168
252	226
151	271
111	224
178	253
325	284
415	233
243	262
288	239
328	237
357	255
368	248
394	216
415	220
451	205
469	171
449	134
428	113
488	45
449	61
422	98
403	111
411	148
426	167
457	188
480	208
462	241
439	262
412	288
370	298
261	312
160	305
96	320
82	289
69	246
62	186
61	162
77	153
56	106
97	99
105	138
109	170
120	202
138	225
111	268
93	247
140	277
198	294
217	260
197	190
171	174
268	128
267	106
456	91
449	108
459	156
445	205
447	236
449	251
452	257
457	275
455	296
512	281
524	122
534	145
541	226
502	333
277	313
279	288
163	336
102	57
108	77
113	95
103	35
94	46
77	63
93	63
108	58
112	38
121	57
95	118
87	136
78	140
84	158
96	148
112	135
111	154
201	87
220	76
206	96
212	103
217	85
191	98
199	61
199	71
187	78
188	85
205	168
186	182
179	165
191	173
203	186
198	195
134	87
141	106
147	119
146	94
356	108
429	77
317	169
436	244
420	286
348	310
333	255
378	229
548	150
507	209
510	264
482	261
464	223
449	253
442	265
411	263
399	250
377	250
360	285
380	281
343	161
330	133
315	153
351	141
424	88
452	96
469	68
446	71
538	139
526	164
546	174
